Company Name,Business Sector,Category,Tags,H1B Sponsorship Likelihood,Fortune 500 (yes/no),Fortune 1500 (Yes if 500-1500/No),Boutique (Yes/No),AnalystsPick (Popular amoung Wallstreet waiting for IPO),Publicly traded (Yes/No)
"Nike","Retail Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"T-Mobile","Telecommunications",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Qualcomm","Semiconductors",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"UPS","LogisticsTech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Bristol-Myers Squibb","Pharma Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Amgen","Biotech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Honeywell","Industrial Automation",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Union Pacific","LogisticsTech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"CVS Health","Healthcare Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"AT&T","Telecommunications",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Royal Bank of Canada","Fintech & Banking",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Medtronic","Healthcare Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"S&P Global","Financial Data",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Elevance Health","Healthcare Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"IBM","Enterprise IT & Cloud",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Palo Alto Networks","Cybersecurity",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"ServiceNow","Enterprise SaaS",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"SAP","Enterprise SaaS",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Deere & Company","AgTech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Sony","Media & Entertainment",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Siemens","Industrial Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Target","Retail Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Intuit","Fintech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Stryker","Medical Devices",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Goldman Sachs","Fintech & Banking",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Caterpillar","Industrial Automation",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"AMD","Semiconductors",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"BlackRock","Fintech & Banking",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Cigna","Healthcare Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Starbucks","Retail Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Sanofi","Pharma Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Morgan Stanley","Fintech & Banking",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"ADP","HR Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Gilead Sciences","Biotech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"CGI","IT Consulting",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Shopify","E-commerce Platforms",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Datadog","Cloud Monitoring",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Snowflake","Cloud Data",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"MongoDB","Database Systems",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Atlassian","Enterprise Collaboration",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Twilio","Cloud Communications",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Zoom","Video Communications",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"CrowdStrike","Cybersecurity",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Roku","Streaming Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Zscaler","Cybersecurity",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Splunk","Data Analytics",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Cloudflare","Web Infrastructure",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Palantir","Enterprise Data AI",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,no,yes,No,No,Yes
"DocuSign","Legal Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,no,yes,No,No,Yes
"Okta","Identity & Access Management",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,no,yes,No,No,Yes
"Fortinet","Cybersecurity",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,no,yes,No,No,Yes
"Arista Networks","Networking",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,no,yes,No,No,Yes
"Square","Fintech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,no,yes,No,No,Yes
"Airbnb","Travel Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,no,yes,No,No,Yes
"Roblox","Gaming & Metaverse",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,no,yes,No,No,Yes
"Coinbase","Crypto & Web3",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,no,yes,No,No,Yes
"GitLab","DevOps & Tools",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,no,yes,No,No,Yes
"Stripe","Fintech",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Databricks","Data Analytics",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Discord","Communications",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Plaid","Fintech API",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Figma","Design Tech",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Notion","Productivity SaaS",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Airtable","No-code Relational DB",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Brex","Fintech",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Canva","Design Tech",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Rippling","HR Tech",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Deel","HR Tech & Compliance",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Anthropic","Foundation AI",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"OpenAI","Foundation AI",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Glean","Enterprise Search",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Scale AI","Data Labeling & AI",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Vercel","Web Infrastructure",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Supabase","Backend-as-a-Service",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Hugging Face","Open Source AI",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Cohere","Enterprise NLP",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Perplexity","AI Search",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Pinecone","Vector Database",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Stability AI","Generative Models",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Midjourney","Generative Models",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Harvey","Legal AI",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Cursor","AI DevTools",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Replit","Cloud IDE",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Linear","Project Management SaaS",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"dbt Labs","Data Engineering",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Fivetran","Data Integration",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Hex","Data Collaboration",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"MotherDuck","Serverless Data",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Flexport","Logistics Tech",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Project44","Supply Chain Visibility",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"FourKites","Supply Chain Analytics",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"X.AI","Foundation AI",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Character.AI","Consumer AI Apps",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Inflection AI","Consumer AI Apps",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Weaviate","Vector Database",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Milvus","Vector Database",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Qdrant","Vector Database",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"Chroma","Vector Database",Startup,"Hot Startup, Highly Funded, Fast-Scaling",High,no,no,Yes,Yes,No
"AegisSecurity","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Shift Intelligence","CleanTech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Kinex Logic","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Quantum Genomics","Fintech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Shift Robotics","Web3 & Crypto",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Synthe Intelligence","E-commerce",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"ForgeSoft","Fintech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Bio Ventures","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Health Ops","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,Yes,No
"Pulse Grid","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Tech Analytics","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Echo Dynamics","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Pulse Ops","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Flux Capital","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Deep Solutions","CleanTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"NovaSystems","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Lumi Matrix","E-commerce",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Quantum Grid","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Kinex AI","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Pulse Intelligence","Legal Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"DeepSolutions","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"OmniGenomics","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Aegis Security","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Cyber Intelligence","E-commerce",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Health Grid","Fintech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Vanguard Labs","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"ForgeVentures","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Vanguard Soft","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Deep Grid","HR Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"EchoGrid","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Deep Web","Web3 & Crypto",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Kinex Cloud","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Omni Tech","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Vanguard AI","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Vault Sphere","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Data Web","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Nexus Tech","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Fin Systems","Web3 & Crypto",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Echo Capital","Legal Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Bio Labs","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Synthe Health","HealthTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Neuro Ventures","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Zephyr Systems","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Shift Technologies","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Shift Web","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Nova Technologies","HealthTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Vertex Robotics","Fintech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Tech Networks","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Forge Intelligence","Fintech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Tech Logic","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Flux Cloud","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"CoreLogic","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Quantum Technologies","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"CoreSystems","Fintech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Shift Soft","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,Yes,No
"OmniData","HealthTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Quantum Capital","Fintech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Deep Soft","HealthTech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Vanguard Networks","Web3 & Crypto",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"CyberSoft","CleanTech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"NovaCyber","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Vertex Ventures","E-commerce",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Health Logic","HealthTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Synthe Sphere","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Cloud Sphere","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Deep Capital","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Cogito Cloud","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Axiom Tech","Legal Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"VertexTech","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"NexusVentures","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Cogito Robotics","Web3 & Crypto",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Deep AI","HR Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,Yes,No
"Bio Cyber","Fintech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"NexusOps","Legal Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"DataNetworks","HR Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Cyber Capital","CleanTech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"AxiomSoft","E-commerce",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"ShiftLogic","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Cyber Logic","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Forge Analytics","CleanTech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Neuro Dynamics","Legal Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Nova Labs","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Forge Grid","HealthTech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"NexusTechnologies","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"KinexAnalytics","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Lumi Robotics","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"PulseTech","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Apex Cyber","Legal Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Shift Systems","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Zephyr Grid","Legal Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"ShiftVentures","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,Yes,No
"ShiftSystems","Fintech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
