Name,Type,Portfolio,JobBoard
Unshackled Ventures,accelerator,https://www.unshackledvc.com/portfolio,N/A
Gold House,accelerator,https://goldhouse.org/gold-house-ventures/,N/A
General Catalyst,VC,https://www.generalcatalyst.com/companies,https://jobs.generalcatalyst.com/jobs
Index Ventures,VC,https://www.indexventures.com/companies/,https://www.indexventures.com/startup-jobs
Accel,VC,https://www.accel.com/companies,https://jobs.accel.com/companies
Bain Capital Ventures,VC,https://www.baincapitalventures.com/portfolio,https://jobs.baincapitalventures.com/jobs
Thrive Capital,VC,https://thrivecap.com/companies,https://jobs.thrivecap.com/jobs
New Enterprise Associates (NEA),VC,https://www.nea.com/companies,https://careers.nea.com/jobs
Khosla Ventures,VC,https://www.khoslaventures.com/portfolio,https://www.khoslaventures.com/portfolio
GV (Google Ventures),VC,https://www.gv.com/portfolio/,https://jobs.gv.com/jobs
Greylock Partners,VC,https://greylock.com/portfolio/,https://jobs.greylock.com/jobs
Founders Fund,VC,https://foundersfund.com/portfolio/,https://foundersfund.com/portfolio/
Spark Capital,VC,https://www.sparkcapital.com/portfolio,https://www.sparkcapital.com/companies
Battery Ventures,VC,https://www.battery.com/portfolio/,https://jobs.battery.com/jobs
Redpoint Ventures,VC,https://www.redpoint.com/portfolio/,https://careers.redpoint.com/jobs
Upfront Ventures,VC,https://www.upfront.com/portfolio,https://jobs.upfront.com/jobs
First Round Capital,VC,https://firstround.com/companies/,https://jobs.firstround.com/talent-network/login
Benchmark,VC,https://www.benchmark.com/portfolio,N/A
Union Square Ventures (USV),VC,https://www.usv.com/portfolio/,https://jobs.usv.com/jobs
IVP,VC,https://www.ivp.com/portfolio/,https://careers.ivp.com/jobs
Norwest Venture Partners,VC,https://www.nvp.com/portfolio,https://careers.nvp.com/jobs
True Ventures,VC,https://trueventures.com/portfolio,https://jobs.trueventures.com/companies
Floodgate,VC,https://www.floodgate.com/companies,N/A
Initialized Capital,VC,https://www.initialized.com/portfolio,https://jobs.initialized.com/jobs
Slow Ventures,VC,https://slow.ventures/,https://slow.co/jobs/
Social Capital,VC,https://www.socialcapital.com/companies,https://www.vcbacked.co/directory/investors/social-capital
Lerer Hippeau,VC,https://lererhippeau.com/portfolio/,https://jobs.lererhippeau.com/jobs
Forerunner Ventures,VC,https://www.forerunnerventures.com/investments,https://www.forerunnerventures.com/careers
Foundry Group,VC,https://www.foundrygroup.com/portfolio,https://jobs.foundry.vc/jobs
IA Ventures,VC,https://www.iaventures.com/,N/A
Flybridge Capital,VC,https://www.flybridge.com/portfolio,https://www.flybridge.com/careers
Next47,VC,https://www.n47.com/portfolio,https://www.next47.com/careers
Costanoa Ventures,VC,https://www.costanoavc.com/portfolio,https://jobs.costanoa.vc/jobs
Canvas Ventures,VC,https://jobs.canvas.vc/jobs,https://jobs.canvas.vc/jobs
Felicis Ventures,VC,https://www.felicis.com/portfolio,https://www.felicis.com/careers
Harvest Partners,VC,https://harvestpartners.com/portfolio-investments/,https://www.harvestpartners.com/careers
Lead Edge Capital,VC,https://www.leadingedgecap.com/companies,https://jobs.leadedge.com/jobs
M13,VC,https://m13.co/companies/,https://www.m13.co/careers
RRE Ventures,VC,https://www.rre.com/companies/,https://jobs.rre.com/jobs
Sapphire Ventures,VC,https://sapphireventures.com/portfolio/,https://jobs.sapphireventures.com/jobs
Shasta Ventures,VC,https://www.shasta.vc/founders/,N/A
Signia Venture Partners,VC,https://signiaventurepartners.com/,https://career.insignia.vc/position
Sterling Partners,VC,https://sterlingpartners.com/company/,https://www.sterlingpartners.com/careers
Sutter Hill Ventures,VC,https://www.shv.com/portfolio/,https://jobs.ashbyhq.com/sutter-hill-ventures
TCV,VC,https://www.tcv.com/partnerships,https://www.tcv.com/careers/
Tenaya Capital,VC,https://www.tenayacapital.com/investments,N/A
Vista Equity Partners,VC,https://www.vistaequitypartners.com/portfolio/,https://vistaequitypartners.getro.com/jobs
Volition Capital,VC,https://www.volitioncapital.com/companies,https://jobs.volitioncapital.com/jobs
Warburg Pincus,VC,https://warburgpincus.com/investments/,https://www.warburgpincus.com/careers
WestCap,VC,https://www.westcap.com/portfolio,https://www.westcap.com/careers
Bessemer Venture Partners,VC,https://www.bvp.com/companies,https://jobs.bvp.com/jobs
CRV,VC,https://www.crv.com/portfolio,https://jobs.crv.com/jobs
Matrix Partners,VC,https://matrix.vc/#portfolio,N/A
Menlo Ventures,VC,https://menlovc.com/portfolio/,https://www.menlovc.com/careers/
Northzone,VC,https://www.northzone.com/portfolio,https://www.northzone.com/careers/
SoftBank Vision Fund,VC,https://visionfund.com/portfolio,https://careers.visionfund.com/
Tiger Global Management,VC,https://www.tigerglobal.com/ventures,https://www.tigergroup.com/careers-openings/
Coatue,VC,https://www.coatue.com/privates-portfolio,https://coatue.com/careers
DCM Ventures,VC,https://www.dcm.com/companies,N/A
Greycroft,VC,https://www.greycroft.com/portfolio/,https://www.greycroft.com/careers/
Mayfield Fund,VC,https://www.mayfield.com/portfolio,https://mayfield.getro.com/jobs
Oak HC/FT,VC,https://www.oakhcft.com/portfolio,https://www.oakhcft.com/careers/
Revolution,VC,https://www.revolution.com/portfolio,https://revolution.com/careers
Stripes,VC,https://www.stripes.com/companies,https://www.stripes.com/careers
Valar Ventures,VC,https://www.valar.com/,N/A
Kleiner Perkins,VC,https://www.kleinerperkins.com/portfolio,https://www.kleinerperkins.com/careers
Ribbit Capital,VC,https://ribbitcap.com/portfolio,N/A
Lux Capital,VC,https://luxcapital.com/companies,https://luxcapital.com/careers
Altimeter Capital,VC,https://www.altimeter.com/companies,N/A
Dragoneer Investment Group,VC,https://www.dragoneer.com/portfolio,N/A
DST Global,VC,https://dst.global/portfolio,N/A
ICONIQ Capital,VC,https://iconiqcapital.com/growth/portfolio,N/A
8VC,VC,https://8vc.com/companies,https://8vc.com/careers
Craft Ventures,VC,https://www.craftventures.com/portfolio,https://www.craftventures.com/careers
Paradigm,VC,https://www.paradigm.xyz/portfolio,https://jobs.paradigm.xyz/
Multicoin Capital,VC,https://multicoin.capital/portfolio,N/A
Pantera Capital,VC,https://www.panteracapital.com/portfolio,N/A
Polychain Capital,VC,https://polychain.capital/portfolio,N/A
Electric Capital,VC,https://www.electriccapital.com/portfolio,N/A
Goodwater Capital,VC,https://www.goodwatercap.com/portfolio,N/A
Science Inc,accelerator,https://scienceinc.com/companies/,https://scienceinc.com/careers
Point Nine Capital,VC,https://www.pointnine.com/portfolio,https://jobs.pointnine.com/
Boldstart Ventures,VC,https://boldstart.vc/portfolio,N/A
Emergence Capital,VC,https://www.emcap.com/portfolio,N/A
F-Prime Capital,VC,https://www.f-prime.com/portfolio,N/A
Headline,VC,https://headline.com/portfolio,https://headline.com/careers
